Geography,Time arriving a,Main mode of co,Total - Commuting duration
0140.13 - Edmonton,Total - Time arriving at work,    Active transportation,0.0
0140.13 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0140.14 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",55.0
0140.14 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0140.14 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0140.14 - Edmonton,Total - Time arriving at work,    Active transportation,0.0
0140.14 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0140.15 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",375.0
0140.15 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",25.0
0140.15 - Edmonton,Total - Time arriving at work,    Public transit,40.0
0140.15 - Edmonton,Total - Time arriving at work,    Active transportation,40.0
0140.15 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0140.16 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",40.0
0140.16 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0140.16 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0140.16 - Edmonton,Total - Time arriving at work,    Active transportation,10.0
0140.16 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0140.17 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",390.0
0140.17 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",50.0
0140.17 - Edmonton,Total - Time arriving at work,    Public transit,55.0
0140.17 - Edmonton,Total - Time arriving at work,    Active transportation,40.0
0140.17 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0140.18 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",280.0
0140.18 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",70.0
0140.18 - Edmonton,Total - Time arriving at work,    Public transit,30.0
0140.18 - Edmonton,Total - Time arriving at work,    Active transportation,25.0
0140.18 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0140.19 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",1095.0
0140.19 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",90.0
0140.19 - Edmonton,Total - Time arriving at work,    Public transit,15.0
0140.19 - Edmonton,Total - Time arriving at work,    Active transportation,65.0
0140.19 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0140.20 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",120.0
0140.20 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0140.20 - Edmonton,Total - Time arriving at work,    Public transit,15.0
0140.20 - Edmonton,Total - Time arriving at work,    Active transportation,20.0
0140.20 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0140.21 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",185.0
0140.21 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0140.21 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0140.21 - Edmonton,Total - Time arriving at work,    Active transportation,20.0
0140.21 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0141.01 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",295.0
0141.01 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0141.01 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0141.01 - Edmonton,Total - Time arriving at work,    Active transportation,0.0
0141.01 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0141.02 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",990.0
0141.02 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",25.0
0141.02 - Edmonton,Total - Time arriving at work,    Public transit,10.0
0141.02 - Edmonton,Total - Time arriving at work,    Active transportation,55.0
0141.02 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0142.01 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",510.0
0142.01 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0142.01 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0142.01 - Edmonton,Total - Time arriving at work,    Active transportation,65.0
0142.01 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0142.02 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",1800.0
0142.02 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",25.0
0142.02 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0142.02 - Edmonton,Total - Time arriving at work,    Active transportation,85.0
0142.02 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0142.04 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",1060.0
0142.04 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",60.0
0142.04 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0142.04 - Edmonton,Total - Time arriving at work,    Active transportation,95.0
0142.04 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0142.05 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",310.0
0142.05 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0142.05 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0142.05 - Edmonton,Total - Time arriving at work,    Active transportation,10.0
0142.05 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0142.06 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",1565.0
0142.06 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",100.0
0142.06 - Edmonton,Total - Time arriving at work,    Public transit,10.0
0142.06 - Edmonton,Total - Time arriving at work,    Active transportation,100.0
0142.06 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0150.01 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",8480.0
0150.01 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",530.0
0150.01 - Edmonton,Total - Time arriving at work,    Public transit,60.0
0150.01 - Edmonton,Total - Time arriving at work,    Active transportation,90.0
0150.01 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0150.02 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",265.0
0150.02 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0150.02 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0150.02 - Edmonton,Total - Time arriving at work,    Active transportation,35.0
0150.02 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0151.03 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",355.0
0151.03 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0151.03 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0151.03 - Edmonton,Total - Time arriving at work,    Active transportation,70.0
0151.03 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0151.04 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",80.0
0151.04 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",10.0
0151.04 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0151.04 - Edmonton,Total - Time arriving at work,    Active transportation,20.0
0151.04 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0151.05 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",770.0
0151.05 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",95.0
0151.05 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0151.05 - Edmonton,Total - Time arriving at work,    Active transportation,45.0
0151.05 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0151.06 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",90.0
0151.06 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",0.0
0151.06 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0151.06 - Edmonton,Total - Time arriving at work,    Active transportation,15.0
0151.06 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0151.07 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",585.0
0151.07 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",45.0
0151.07 - Edmonton,Total - Time arriving at work,    Public transit,10.0
0151.07 - Edmonton,Total - Time arriving at work,    Active transportation,20.0
0151.07 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0152.00 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",5715.0
0152.00 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",260.0
0152.00 - Edmonton,Total - Time arriving at work,    Public transit,95.0
0152.00 - Edmonton,Total - Time arriving at work,    Active transportation,55.0
0152.00 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",10.0
0153.01 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",275.0
0153.01 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0153.01 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0153.01 - Edmonton,Total - Time arriving at work,    Active transportation,25.0
0153.01 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0153.02 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",3630.0
0153.02 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",480.0
0153.02 - Edmonton,Total - Time arriving at work,    Public transit,25.0
0153.02 - Edmonton,Total - Time arriving at work,    Active transportation,190.0
0153.02 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0154.00 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",1075.0
0154.00 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",50.0
0154.00 - Edmonton,Total - Time arriving at work,    Public transit,10.0
0154.00 - Edmonton,Total - Time arriving at work,    Active transportation,95.0
0154.00 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0155.00 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",2495.0
0155.00 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",160.0
0155.00 - Edmonton,Total - Time arriving at work,    Public transit,50.0
0155.00 - Edmonton,Total - Time arriving at work,    Active transportation,65.0
0155.00 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0156.00 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",1210.0
0156.00 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",110.0
0156.00 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0156.00 - Edmonton,Total - Time arriving at work,    Active transportation,80.0
0156.00 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0157.00 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",915.0
0157.00 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",70.0
0157.00 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0157.00 - Edmonton,Total - Time arriving at work,    Active transportation,60.0
0157.00 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0160.01 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",450.0
0160.01 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0160.01 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0160.01 - Edmonton,Total - Time arriving at work,    Active transportation,45.0
0160.01 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0160.03 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",495.0
0160.03 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",40.0
0160.03 - Edmonton,Total - Time arriving at work,    Public transit,15.0
0160.03 - Edmonton,Total - Time arriving at work,    Active transportation,20.0
0160.03 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0160.04 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",1660.0
0160.04 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",55.0
0160.04 - Edmonton,Total - Time arriving at work,    Public transit,0.0
0160.04 - Edmonton,Total - Time arriving at work,    Active transportation,0.0
0160.04 - Edmonton,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0161.01 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a driver",840.0
0161.01 - Edmonton,Total - Time arriving at work,"    Car, truck or van - as a passenger",45.0
