Geography,Time arriving a,Main mode of co,Total - Commuting duration
0006.00 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0007.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",3015.0
0007.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",335.0
0007.00 - Barrie,Total - Time arriving at work,    Public transit,130.0
0007.00 - Barrie,Total - Time arriving at work,    Active transportation,155.0
0007.00 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0008.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",1870.0
0008.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",85.0
0008.00 - Barrie,Total - Time arriving at work,    Public transit,20.0
0008.00 - Barrie,Total - Time arriving at work,    Active transportation,35.0
0008.00 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0009.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",265.0
0009.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",20.0
0009.00 - Barrie,Total - Time arriving at work,    Public transit,0.0
0009.00 - Barrie,Total - Time arriving at work,    Active transportation,15.0
0009.00 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0010.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",190.0
0010.00 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a passenger",70.0
0010.00 - Barrie,Total - Time arriving at work,    Public transit,35.0
0010.00 - Barrie,Total - Time arriving at work,    Active transportation,30.0
0010.00 - Barrie,Total - Time arriving at work,"  Motorcycle, scooter or moped",0.0
0011.01 - Barrie,Total - Time arriving at work,"    Car, truck or van - as a driver",1300.0
